PWSID,ZIPCODE
CA1910067,90016
CA1910067,90108
CA1910067,90106
CA1910067,90068
CA1910067,90105
CA1910067,90104
CA1910067,90110
CA1910067,90107
CA1910067,90128
CA1910067,90123
CA1910067,90027
CA1910067,90132
CA1910067,90028
CA1910067,90040
CA1910067,90131
CA1910067,90029
CA1910067,90130
CA1910067,90075
CA1910067,90225
CA1910067,90039
CA1910067,90129
CA1910067,90030
CA1910067,90041
CA1910067,90125
CA1910067,90034
CA1910067,90035
CA1910067,90126
CA1910067,90077
CA1910067,90033
CA1910067,90124
CA1910067,90054
CA1910067,90038
CA1910067,90036
CA1910067,90032
CA1910067,90031
CA1910067,90037
CA1910067,90076
CA1910067,90133
CA1910067,90127
CA1910067,90044
CA1910067,90071
CA1910067,90053
CA1910067,90119
CA1910067,90118
CA1910067,90117
CA1910067,90042
CA1910067,90116
CA1910067,90223
CA1910067,90138
CA1910067,90115
CA1910067,90114
CA1910067,90113
CA1910067,90112
CA1910067,90111
CA1910067,90019
CA1910067,90122
CA1910067,90139
CA1910067,90134
CA1910067,90222
CA1910067,90026
CA1910067,90135
CA1910067,90120
CA1910067,90023
CA1910067,90089
CA1910067,90022
CA1910067,90136
CA1910067,90021
CA1910067,90121
CA1910067,90137
CA1910067,90020
CA1910067,90025
CA1910067,90213
CA1910067,90215
CA1910067,90166
CA1910067,90214
CA1910067,90167
CA1910067,90168
CA1910067,90169
CA1910067,90177
CA1910067,90170
CA1910067,90164
CA1910067,90171
CA1910067,90172
CA1910067,90212
CA1910067,90173
CA1910067,90174
CA1910067,90175
CA1910067,90063
CA1910067,90061
CA1910067,90159
CA1910067,90062
CA1910067,90219
CA1910067,90153
CA1910067,90154
CA1910067,90155
CA1910067,90156
CA1910067,90157
CA1910067,90206
