PWSID,ZIPCODE
CA1910067,90126
CA1910067,90127
CA1910067,90128
CA1910067,90129
CA1910067,90130
CA1910067,90131
CA1910067,90132
CA1910067,90133
CA1910067,90134
CA1910067,90135
CA1910067,90136
CA1910067,90137
CA1910067,90138
CA1910067,90139
CA1910067,90140
CA1910067,90141
CA1910067,90142
CA1910067,90143
CA1910067,90144
CA1910067,90145
CA1910067,90146
CA1910067,90147
CA1910067,90148
CA1910067,90149
CA1910067,90150
CA1910067,90151
CA1910067,90152
CA1910067,90153
CA1910067,90154
CA1910067,90155
CA1910067,90156
CA1910067,90157
CA1910067,90158
CA1910067,90159
CA1910067,90160
CA1910067,90161
CA1910067,90162
CA1910067,90163
CA1910067,90164
CA1910067,90165
CA1910067,90166
CA1910067,90167
CA1910067,90168
CA1910067,90169
CA1910067,90170
CA1910067,90171
CA1910067,90172
CA1910067,90173
CA1910067,90174
CA1910067,90175
CA1910067,90176
CA1910067,90177
CA1910067,90178
CA1910067,90179
CA1910067,90180
CA1910067,90181
CA1910067,90182
CA1910067,90183
CA1910067,90184
CA1910067,90185
CA1910067,90186
CA1910067,90187
CA1910067,90188
CA1910067,90189
CA1910067,90190
CA1910067,90191
CA1910067,90192
CA1910067,90193
CA1910067,90194
CA1910067,90195
CA1910067,90196
CA1910067,90197
CA1910067,90198
CA1910067,90199
CA1910067,90200
CA1910067,90201
CA1910067,90202
CA1910067,90203
CA1910067,90204
CA1910067,90205
CA1910067,90206
CA1910067,90207
CA1910067,90208
CA1910067,90209
CA1910067,90210
CA1910067,90211
CA1910067,90212
CA1910067,90213
CA1910067,90214
CA1910067,90215
CA1910067,90216
CA1910067,90217
CA1910067,90218
CA1910067,90219
CA1910067,90220
CA1910067,90221
CA1910067,90222
CA1910067,90223
CA1910067,90224
CA1910067,90225
CA1910067,90226
CA1910067,90227
CA1910067,90228
CA1910067,90229
CA1910067,90230
CA1910067,90231
CA1910067,90232
CA1910067,90233
CA1910067,90234
CA1910067,90235
CA1910067,90236
CA1910067,90237
CA1910067,90238
CA1910067,90239
CA1910067,90240
CA1910067,90241
CA1910067,90242
CA1910067,90243
CA1910067,90244
CA1910067,90245
CA1910067,90246
CA1910067,90247
CA1910067,90248
CA1910067,90249
CA1910067,90250
CA1910067,90251
CA1910067,90252
CA1910067,90253
CA1910067,90254
CA1910067,90255
CA1910067,90256
CA1910067,90257
CA1910067,90258
CA1910067,90259
CA1910067,90260
CA1910067,90261
CA1910067,90262
CA1910067,90263
CA1910067,90264
CA1910067,90265
CA1910067,90266
CA1910067,90267
CA1910067,90268
CA1910067,90269
CA1910067,90270
CA1910067,90271
CA1910067,90272
CA1910067,90274
CA1910067,90291
CA1910067,90292
CA1910067,90293
CA1910067,90294
CA1910067,90295
CA1910067,90296
CA1910067,90297
CA1910067,90298
CA1910067,90299
CA1910067,90300
CA1910067,90301
CA1910067,90302
CA1910067,90303
CA1910067,90304
CA1910067,90305
CA1910067,90306
CA1910067,90307
CA1910067,90308
CA1910067,90309
CA1910067,90310
CA1910067,90311
CA1910067,90312
CA1910067,90313
CA1910067,90314
CA1910067,90315
CA1910067,90316
CA1910067,90317
CA1910067,90318
CA1910067,90319
CA1910067,90320
CA1910067,90321
CA1910067,90322
CA1910067,90323
CA1910067,90324
CA1910067,90325
CA1910067,90326
CA1910067,90327
CA1910067,90328
CA1910067,90329
CA1910067,90330
CA1910067,90331
CA1910067,90332
CA1910067,90333
CA1910067,90334
CA1910067,90335
CA1910067,90336
CA1910067,90337
CA1910067,90338
CA1910067,90339
CA1910067,90340
CA1910067,90341
CA1910067,90342
CA1910067,90343
CA1910067,90344
CA1910067,90345
CA1910067,90346
CA1910067,90347
CA1910067,90348
CA1910067,90349
CA1910067,90350
CA1910067,90351
CA1910067,90352
CA1910067,90353
CA1910067,90354
CA1910067,90355
CA1910067,90356
CA1910067,90357
CA1910067,90358
CA1910067,90359
CA1910067,90360
CA1910067,90361
CA1910067,90362
CA1910067,90363
CA1910067,90364
CA1910067,90365
CA1910067,90366
CA1910067,90367
CA1910067,90368
CA1910067,90369
CA1910067,90370
CA1910067,90371
CA1910067,90372
CA1910067,90373
CA1910067,90374
CA1910067,90375
CA1910067,90376
CA1910067,90377
CA1910067,90378
CA1910067,90379
CA1910067,90380
CA1910067,90381
CA1910067,90382
CA1910067,90383
CA1910067,90384
CA1910067,90385
CA1910067,90386
CA1910067,90387
CA1910067,90388
CA1910067,90389
CA1910067,90390
CA1910067,90391
CA1910067,90392
CA1910067,90393
CA1910067,90394
CA1910067,90395
CA1910067,90396
CA1910067,90397
CA1910067,90398
CA1910067,90399
CA1910067,90400
CA1910067,90401
CA1910067,90402
CA1910067,90403
CA1910067,90404
CA1910067,90405
CA1910067,90501
CA1910067,90502
CA1910067,90504
CA1910067,90710
CA1910067,90711
CA1910067,90712
CA1910067,90713
CA1910067,90714
CA1910067,90715
CA1910067,90716
CA1910067,90717
CA1910067,90718
CA1910067,90719
CA1910067,90720
CA1910067,90721
CA1910067,90722
CA1910067,90723
CA1910067,90724
CA1910067,90725
CA1910067,90726
CA1910067,90727
CA1910067,90728
CA1910067,90729
CA1910067,90730
CA1910067,90731
CA1910067,90732
CA1910067,90733
CA1910067,90734
CA1910067,90735
CA1910067,90736
CA1910067,90737
CA1910067,90738
CA1910067,90739
CA1910067,90740
CA1910067,90741
CA1910067,90742
CA1910067,90743
CA1910067,90744
CA1910067,90745
CA1910067,90746
CA1910067,90747
CA1910067,90748
CA1910067,90749
CA1910067,90750
CA1910067,90751
CA1910067,90752
CA1910067,90753
CA1910067,90754
CA1910067,90755
CA1910067,90756
CA1910067,90757
CA1910067,90758
CA1910067,90759
CA1910067,90760
CA1910067,90761
CA1910067,90762
CA1910067,90763
CA1910067,90764
CA1910067,90765
CA1910067,90766
CA1910067,90767
CA1910067,90768
CA1910067,90769
CA1910067,90770
CA1910067,90771
CA1910067,90772
CA1910067,90773
CA1910067,90774
CA1910067,90775
CA1910067,90776
CA1910067,90777
CA1910067,90778
CA1910067,90779
CA1910067,90780
CA1910067,90781
CA1910067,90782
CA1910067,90783
CA1910067,90784
CA1910067,90785
CA1910067,90786
CA1910067,90787
CA1910067,90788
CA1910067,90789
CA1910067,90790
CA1910067,90791
CA1910067,90792
CA1910067,90793
CA1910067,90794
CA1910067,90795
CA1910067,90796
CA1910067,90797
CA1910067,90798
CA1910067,90799
CA1910067,90800
CA1910067,90801
CA1910067,90802
CA1910067,90803
CA1910067,90804
CA1910067,90805
CA1910067,90806
CA1910067,90807
CA1910067,90808
CA1910067,90809
CA1910067,90810
CA1910067,90811
CA1910067,90812
CA1910067,90813
CA1910067,90814
CA1910067,90815
CA1910067,90816
CA1910067,90817
CA1910067,90818
CA1910067,90819
CA1910067,90820
CA1910067,90821
CA1910067,90822
CA1910067,91030
CA1910067,91040
CA1910067,91041
CA1910067,91042
CA1910067,91105
CA1910067,91201
CA1910067,91202
CA1910067,91203
CA1910067,91204
CA1910067,91205
CA1910067,91206
CA1910067,91207
CA1910067,91208
CA1910067,91209
CA1910067,91210
CA1910067,91211
